gen,key
1,63.248
2,62.809
3,61.46
4,62.184
5,60.910
6,58.279
7,58.268
8,58.226
9,57.856
10,57.703
11,57.820
12,57.976
13,57.602
14,57.010
15,57.522
16,58.193
17,58.129
18,57.525
19,57.983
20,58.2
21,57.85
22,57.845
23,58.064
24,58.071
25,57.859
26,57.852
27,57.869
28,58.053
29,57.711
30,58.214
31,58.240
32,57.779
33,58.214
34,58.264
35,57.936
36,58.186
37,57.866
38,58.038
39,57.714
40,58.364
41,58.107
42,58.038
43,57.922
44,57.025
45,57.978
46,58.152
47,58.005
48,57.576
49,57.948
50,57.504
51,57.183
